id;area_conocimiento_id;padre_id;titulo;orden;trimestre
3509020600;3509;3509020000;El Cristianismo Como Religión Oficial Del Imperio Romano (Constantino).;6;
3509020700;3509;3509020000;La Edad Media Y El Auge Del Cristianismo.;7;
3509030100;3509;3509030000;Cismas Del Cristianismo En La Historia;1;
3509030200;3509;3509030000;Iglesia Ortodoxa, Reforma Protestante, Iglesia Anglicana.;2;
3509030300;3509;3509030000;Espiritualidad Y Teología Protestante;3;
3509030400;3509;3509030000;La Contrarreforma.;4;
3509030500;3509;3509030000;Ecumenismo.;5;
3509030600;3509;3509030000;Análisis Crítico De Los Valores Y Principios Del Cristianismo En Las Diferentes Iglesias.;6;
3509040100;3509;3509040000;Primeras Misiones Evangelizadoras En Bolivia.;1;
3509040200;3509;3509040000;Órdenes Religiosas, Las Misiones Evangelizadoras En Los Andes, Oriente, Chaco Y Amazonía (Arte).;2;
3509040300;3509;3509040000;Misiones Jesuitas En Bolivia: San Miguel, San Rafael, Y Santa Ana, San Francisco Xavier, San José De Chiquitos Y Otros.;3;
3509040400;3509;3509040000;Los Artistas Indios Y Los Estilos Que Fundaron (Tito Yupanqui, Melchor Pérez De Olguín Y Otros).;4;
3509050100;3509;3509050000;Importancia;1;
3509050200;3509;3509050000;Identidad;2;
3509050300;3509;3509050000;Desafíos;3;
3509050400;3509;3509050000;Adaptación A Un Mundo Globalizado Con Medios De Comunicación Digital.;4;
3509050500;3509;3509050000;Ética Cristiana;5;
3509060100;3509;3509060000;El Sincretismo Religioso (Religiosidad Popular) Y Advocaciones De La Virgen María En Los Pueblos De Los Andes, Oriente Y Amazonia.;1;
3509060200;3509;3509060000;Los Dogmas Marianos;2;
3509060300;3509;3509060000;Celebración De La Solemnidad De Todos Los Santos - Todos Santos;3;
3509070100;3509;3509070000;Descubriendo Una Misión Personal.;1;
3509070200;3509;3509070000;La Vocación Como Don Al Servicio De La Comunidad.;2;
3509070300;3509;3509070000;Desarrollo De Los Talentos, Capacidades Y Habilidades Para Fortalecer El Horizonte Vocacional.;3;
3609010100;3609;3609010000;Liderazgo A Ejemplo De Jesús;1;
3609010200;3609;3609010000;Testimonio De Líderes Que Transforman La Sociedad.;2;
3609010300;3609;3609010000;Proyecto: “Yo Te Admiro”.;3;
3609020100;3609;3609020000;Identidad;1;
3609020200;3609;3609020000;Alcances De La Doctrina Social De La Iglesia Orientadas A La Justicia, La Paz Y La Bien Común Dignidad De La Persona Humana;2;
3609020300;3609;3609020000;Mensajes De Las Encíclicas.;3;
3609030100;3609;3609030000;La Bioética, Para El Respeto Y Cuidado De La Vida En Todas Sus Manifestaciones (Dignitas Personæ, Laudato Si);1;
3609030200;3609;3609030000;La Ética Presente En Las Diferentes Profesiones Y Oficios Laborales (Códigos De Ética), Para Fortalecer Una Convivencia Armónica En La Sociedad;2;
3609040100;3609;3609040000;Vocación Religiosa, Sacerdotal, Y Laical.;1;
3609040200;3609;3609040000;Sacramentos De Servicio (Matrimonio Y Sociedad).;2;
3609040300;3609;3609040000;Paternidad Y Maternidad Responsable (Proverbios);3;
3609040400;3609;3609040000;Jóvenes Comprometidos Con Sus Ideales (Christus Vivit).;4;
3609040500;3609;3609040000;Orientación Vocacional, Profesional, Ocupacional Y De Emprendimientos Laborales. (Invitar A Un Sacerdote O Religiosa);5;
3609050100;3609;3609050000;Lineamientos Concretos Para El Proyecto De Vida.;1;
3609050200;3609;3609050000;Mi Proyecto De Vida;2;
3609050300;3609;3609050000;Autobiografía Y Autobiografía Futurista.;3;
3609050400;3609;3609050000;Construcción De Metas Y Objetivos Concretos Para El Proyecto De Vida (Corto, Mediano Y Largo Plazo).;4;
3609060100;3609;3609060000;Aprendizaje Basado En Investigación Acción, Con El Enfoque De La Doctrina Social De La Iglesia: Justicia, La Paz Y La Bien Común Dignidad De La Persona Humana.;1;
3609070100;3609;3609070000;Defensa Del Trabajo De Investigación Acción;1;
3110010100;3110;3110010000;El Origen De Los Números Enteros;1;
3110010200;3110;3110010000;El Conjunto De Los Números Enteros;2;
