id,nombre,distrito_id,area,nivel,latitud,longitud
80980551,PLAZA SESAMO,3061,Urbano,1,-17.366774934231,-66.173557639122
80980552,NUESTRA SEÑORA DE LA MERCED A,3062,Urbano,4,-17.397699356079,-66.207359313965
80980553,SAN VICENTE DE PAUL,3061,Urbano,2,-17.3871002197266,-66.1611404418945
80980554,PENTECOSTAL DE BOLIVIA,3062,Urbano,7,-17.439599990845,-66.1171875
80980555,BARNEY,3061,Urbano,1,-17.3856853452247,-66.1742005348207
80980559,STEFANO HOTELLIER,3062,Urbano,7,-17.469699859619,-66.139953613281
80980560,BUENA VISTA LIBERTAD A,3062,Urbano,4,-17.468599319458,-66.1580276489258
80980561,JUANCITO PINTO B,3062,Urbano,7,-17.476900100708,-66.1198348999023
80980562,JUAN BOSCO,3061,Urbano,1,-17.3885116930662,-66.1516842842099
80980563,1ERO. DE MAYO,3061,Urbano,3,-17.3358993530273,-66.1718826293945
80980564,MI PEQUEÑA CASITA,3061,Urbano,1,-17.371000289917,-66.1713027954102
80980565,PATRIA NUEVA,3062,Urbano,7,-17.4428005218506,-66.1903839111328
80980566,TIQUIRANI,3062,Urbano,7,-17.4640007019043,-66.1357803344727
80980568,SANTA MARIA MAGDALENA POSTEL,3061,Urbano,1,-17.414,-66.1653
80980570,ANA MARIA ROMERO DE CAMPERO,3062,Urbano,4,-17.475799560547,-66.168632507324
80980571,SAN MIGUEL ARCANGEL,3062,Urbano,3,-17.4393997192383,-66.1433792114258
80980573,JUANA AZURDUY DE PADILLA,3062,Urbano,4,-17.423299789429,-66.144805908203
80980577,RAGAZZINI,3061,Urbano,3,-17.3757900215189,-66.1607435222473
80980578,CRECER SUR,3061,Urbano,1,-17.3719735907206,-66.1551476716994
80980584,1RO. DE MAYO 2,3062,Urbano,4,-17.4671001434326,-66.2039489746094
80980586,BOLIVIA HOLANDA,3062,Urbano,7,-17.4751195123419,-66.147536325058
80980587,RENE BARRIENTOS ORTUÑO C,3062,Urbano,4,-17.476900100708,-66.1100921630859
80980589,MICAELA BASTIDAS,3062,Urbano,4,-17.472518269444,-66.209349036216
80980590,BRASIL B,3061,Urbano,4,-17.4016261131741,-66.1572756171228
80980591,TIC TAC TOE,3061,Urbano,1,-17.3712798,-66.1526727
80980592,PACHA,3062,Urbano,4,-17.4899005889893,-66.1783294677734
80980593,WILGE RODRIGUEZ  B,3061,Urbano,4,-17.391799926758,-66.151550292969
80980594,METROPOLITANA,3061,Urbano,3,-17.3906695963394,-66.1637207742539
80980595,TRAZITOS COLLORS,3061,Urbano,1,-17.3720987372833,-66.1503097291794
80980596,PROF. JAIME ALFONSO ESCALANTE GUTIERREZ,3062,Urbano,7,-17.452667,-66.148726
80980597,JOSE RIOS ESCOBAR,3062,Urbano,1,-17.3976993560791,-66.19384765625
80980598,PILAR SEJAS MERCADO,3062,Urbano,1,-17.3980007171631,-66.1826019287109
80980599,MARIANO ANTEZANA B,3061,Urbano,4,-17.370100021362,-66.162612915039
80980600,JARDIN DE TESOROS,3061,Urbano,1,-17.3738061574786,-66.1218970890847
80980601,LA SALLE E,3061,Urbano,4,-17.404499053955,-66.168502807617
80980602,MARIA DE LOS ANDES,3061,Urbano,3,-17.354499816894,-66.167442321777
80980630,ALTO FLORIDA,3062,Urbano,3,-17.4578060941817,-66.2074327468872
80980640,BOLIVIANO ALEMAN,3062,Urbano,1,-17.4825000762939,-66.153076171875
80980641,COBOL,3062,Urbano,7,-17.4850896159843,-66.1586380004883
80980644,REY DE REYES,3061,Urbano,7,-17.384557384397,-66.1753213405609
80980645,VIVIR EN ARMONIA,3061,Urbano,1,-17.3857450758219,-66.1556017398834
80980646,ALTO K'ARA K'ARA,3062,Urbano,7,-17.47380065918,-66.131988525391
80980647,TRINOS,3061,Urbano,1,-17.3595577637849,-66.184161901474
80980651,CRISTO MAESTRO C.E.H,3061,Urbano,1,-17.3966233562284,-66.1587399244309
80980652,INNOVA BELEN ARRUMANI,3062,Urbano,7,-17.4824289873944,-66.1179435253143
80980653,LA CASA DE ELSITA,3062,Urbano,1,-17.4415271628532,-66.1174285411835
80980654,MARISCAL ANTONIO JOSE DE SUCRE-RIO SECO,3062,Urbano,3,-17.2938,-66.1009
80980655,EVITO,3062,Urbano,7,-17.4733825591401,-66.1053156852722
80980656,ERNESTO CHE GUEVARA,3062,Urbano,1,-17.4610811514309,-66.10600233078
80980672,LIBERTAD II,3062,Urbano,4,-17.4259121478208,-66.1143922805786
80980673,MARISCAL SANTA CRUZ - LAS LOMAS,3062,Urbano,3,-17.4745082704125,-66.2013387680054
80980674,NUEVO HORIZONTE,3062,Urbano,3,-17.4804992675781,-66.1008529663086
80980678,GRAN TUNARI II,3062,Urbano,4,-17.4520131925167,-66.1113023757935
80980680,PLURINACIONAL BOLIVIA UNIDA,3062,Urbano,3,-17.4865529451197,-66.2346088886261
80980682,ABRIENDO PUERTAS PAZ Y BIEN LA CASA DEL EKEKO,3061,Urbano,2,-17.3778048026238,-66.1498725414276
80980683,LONDRES CONTINENTAL,3061,Urbano,7,-17.3978543399463,-66.1543610112858
80980685,21 DE SEPTIEMBRE II,3062,Urbano,4,-17.482310973099,-66.180823296906
80980687,LA FRONTERA,3062,Urbano,3,-17.4921503262244,-66.1665344238281
80980688,BOLIVIA NUEVA PANAMERICANA,3062,Urbano,3,-17.4858468646991,-66.1866188049317
